('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.19', ' Timestamp: ', '18/05/2023 22:46:14')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.23', ' Timestamp: ', '18/05/2023 22:46:15')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.21', ' Timestamp: ', '18/05/2023 22:46:16')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.20', ' Timestamp: ', '18/05/2023 22:46:16')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.20', ' Timestamp: ', '18/05/2023 22:46:17')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.27', ' Timestamp: ', '18/05/2023 22:46:18')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.24', ' Timestamp: ', '18/05/2023 22:46:19')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.21', ' Timestamp: ', '18/05/2023 22:46:20')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.26', ' Timestamp: ', '18/05/2023 22:46:20')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.22', ' Timestamp: ', '18/05/2023 22:46:21')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.20', ' Timestamp: ', '18/05/2023 22:46:22')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.25', ' Timestamp: ', '18/05/2023 22:46:23')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.22', ' Timestamp: ', '18/05/2023 22:46:23')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.20', ' Timestamp: ', '18/05/2023 22:46:24')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.22', ' Timestamp: ', '18/05/2023 22:46:25')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.25', ' Timestamp: ', '18/05/2023 22:46:26')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.21', ' Timestamp: ', '18/05/2023 22:46:27')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.24', ' Timestamp: ', '18/05/2023 22:46:27')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.22', ' Timestamp: ', '18/05/2023 22:46:28')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.20', ' Timestamp: ', '18/05/2023 22:46:29')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.25', ' Timestamp: ', '18/05/2023 22:46:30')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.20', ' Timestamp: ', '18/05/2023 22:46:30')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.24', ' Timestamp: ', '18/05/2023 22:46:31')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.21', ' Timestamp: ', '18/05/2023 22:46:32')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.21', ' Timestamp: ', '18/05/2023 22:46:33')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.20', ' Timestamp: ', '18/05/2023 22:46:34')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.20', ' Timestamp: ', '18/05/2023 22:46:34')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.23', ' Timestamp: ', '18/05/2023 22:46:35')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.22', ' Timestamp: ', '18/05/2023 22:46:36')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.25', ' Timestamp: ', '18/05/2023 22:46:37')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.20', ' Timestamp: ', '18/05/2023 22:46:37')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.23', ' Timestamp: ', '18/05/2023 22:46:38')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.21', ' Timestamp: ', '18/05/2023 22:46:39')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.22', ' Timestamp: ', '18/05/2023 22:46:40')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.24', ' Timestamp: ', '18/05/2023 22:46:40')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.20', ' Timestamp: ', '18/05/2023 22:46:41')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.22', ' Timestamp: ', '18/05/2023 22:46:42')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.22', ' Timestamp: ', '18/05/2023 22:46:43')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.22', ' Timestamp: ', '18/05/2023 22:46:44')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.20', ' Timestamp: ', '18/05/2023 22:46:44')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.21', ' Timestamp: ', '18/05/2023 22:46:45')
('Topic: ', 'wash_samos_1/ampere', ' -> Message:  ', '0.22', ' Timestamp: ', '18/05/2023 22:46:46')
